date,open
20200201,15.07
20200202,14.89
20200203,14.45
20200204,14.3
20200205,14.94
20200206,13.93
20200207,14.33
20200208,14.17
20200209,13.62
20200210,13.57
20200211,13.6
20200212,13.14
20200213,13.28
20200214,13.49
20200215,13.37
20200216,13.5
20200217,14.01
20200218,14.52
20200219,14.7
20200220,14.99
20200221,14.85
20200222,15.14
20200223,15.54
20200224,15.98
20200225,16.45
20200226,15.8
20200227,16.48
20200228,17.13
20200229,17.21
20200301,17.1
20200302,16.92
20200303,16.67
20200304,16.48
20200305,17
20200306,17.02
20200307,16.48
20200308,15.82
20200309,15.12
20200310,15.17
20200311,15.82
20200312,16.07
20200313,15.74
20200314,15.77
20200315,16.11
20200316,16.2
20200317,15.96
20200318,16.17
20200319,16.54
20200320,16.1
20200321,15.99
20200322,15.33
20200323,16.26
20200324,16.55
20200325,16.38
20200326,16.7
20200327,16.8
20200328,16.91
20200329,16.72
20200330,17.02
20200331,17.05
20200401,17.15
20200402,17.01
20200403,17.53
20200404,17.61
20200405,17.74
20200406,17.82
20200407,18.37
20200408,18.96
20200409,19.38
20200410,19.05
20200411,18.55
20200412,18.06
20200413,17.48
20200414,18.11
20200415,18.44
20200416,18.06
20200417,17.92
20200418,17.66
20200419,17.54
20200420,17.78
20200421,17.15
20200422,16.92
20200423,16.89
20200424,17.09
20200425,16.94
20200426,16.97
20200427,16.85
20200428,16.96
20200429,17.02
20200430,16.94
20200501,17.16
20200502,16.73
20200503,16.8
20200504,16.06
20200505,16.22
20200506,16.5
20200507,16.29
20200508,16.24
20200509,16.5
20200510,16.78
20200511,16.06
20200512,16.93
20200513,16.94
20200514,17.01
20200515,17.32
20200516,17.4
20200517,17.36
20200518,17.66
20200519,17.86
20200520,17.96
20200521,18.7
20200522,18.26
20200523,18.25
20200524,18.33
20200525,18.43
20200526,18.49
20200527,18.74
20200528,19.07
20200529,19.33
20200530,19.25
20200531,19.44
20200601,19.38
20200602,18.9
20200603,19.17
20200604,18.84
20200605,18.99
20200606,18.91
20200607,18.49
20200608,18.86
20200609,16.05
20200610,15.97
20200611,15.7
20200612,15.97
20200613,15.64
20200614,15.8
20200615,15.91
20200616,16.3
20200617,16.16
20200618,15.87
20200619,15.38
20200620,16.03
20200621,16.1
20200622,16.38
20200623,16.49
20200624,16.95
20200625,17.18
20200626,16.86
20200627,17.69
20200628,18.03
20200629,17.69
20200630,17.71
20200701,18.16
20200702,18.57
20200703,18.68
20200704,18.67
20200705,18.94
20200706,18.89
20200707,18.79
20200708,19.13
20200709,19.17
20200710,19.09
20200711,18.34
20200712,18.98
20200713,20
20200714,20
20200715,20.31
20200716,20.41
20200717,20.32
20200718,20.08
20200719,20.35
20200720,20.5
20200721,20.52
20200722,20.64
20200723,20.57
20200724,20.72
20200725,21.23
20200726,21.23
20200727,21.53
20200728,21.82
20200729,22.08
20200730,22.76
20200731,22.24
20200801,22.76
20200802,22.38
20200803,22.6
20200804,22.04
20200805,22.6
20200806,22.75
20200807,23.26
20200808,22.53
20200809,22.16
20200810,23.25
20200811,23.26
20200812,24.22
20200813,23.79
20200814,23.73
20200815,24.22
20200816,24.55
20200817,24.29
20200818,24.07
20200819,24.2
20200820,24.45
20200821,24.17
20200822,23.92
20200823,24.12
20200824,23.55
20200825,22.99
20200826,22.38
20200827,22.27
20200828,22.72
20200829,23.95
20200830,24.54
20200831,25.44
20200901,26.2
20200902,25.61
20200903,26.63
20200904,26.47
20200905,25.99
20200906,26.09
20200907,26.16
20200908,26.29
20200909,26
20200910,26.12
20200911,25.95
20200912,24.87
20200913,24.74
20200914,25.07
20200915,25.75
20200916,26.62
20200917,27.2
20200918,26.37
20200919,28.24
20200920,29.05
20200921,29.18
20200922,28.75
20200923,28.9
20200924,28.94
20200925,29.3
20200926,30.66
20200927,30.71
20200928,30.65
20200929,31.02
20200930,30.4
20201001,30.32
20201002,32.24
20201003,33.36
20201004,33.44
20201005,33.95
20201006,34.04
20201007,33.82
20201008,33.71
20201009,34.81
20201010,36.1
20201011,35.58
20201012,34.89
20201013,34.07
20201014,34.85
20201015,34.73
20201016,34.25
20201017,34.43
20201018,35.78
20201019,36.2
20201020,36.63
20201021,37.12
20201022,36.88
20201023,36.11
20201024,36.17
20201025,36.57
20201026,37.6
20201027,38.28
20201028,39.17
20201029,38.7
20201030,38.65
20201031,37.97
20201101,37.9
20201102,36
20201103,36.62
20201104,37.75
20201105,37.27
20201106,36.61
20201107,36.76
20201108,36.25
20201109,36.88
20201110,38.15
20201111,36.62
20201112,35.77
20201113,35.84
20201114,36.95
20201115,38.24
20201116,37.72
20201117,37.41
20201118,36.78
20201119,36
20201120,36.08
20201121,36.7
20201122,34.1
20201123,34
20201124,33.52
20201125,34.17
20201126,35.5
20201127,35.08
20201128,35.76
20201129,37.14
20201130,37.84
20201201,37
20201202,36.41
20201203,35.2
20201204,35.68
20201205,35.86
